fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,05,BIHAR,0542,KISHANGANJ,850285,11600.5533807829,2,0,0.1424,25,59,15461,562,2,20742,0,6989,0,65.33751,266,281,187180,222704,0,360486,460488,15486,65.19511,466,59,0,0,100,NA
2025-2026,April,05,BIHAR,0543,SHEOHAR,184334,0,0,0,0.06195,7,30,9316,0,0,13488,0,78,0,49.3478069,0,0,63042,88882,0,151903,203261,9323,49.2858569,0,64,0,0,0,NA
2025-2026,April,05,BIHAR,0544,SUPAUL,591704,62862.426183432,1,0,1.39547,36,28,18920,338,21,63644,0,1614,0,213.8704705,276,338,166421,247095,0,504828,747324,18956,212.4750005,204,73,0.29,0,100,NA
2025-2026,April,05,BIHAR,0551,ARWAL,277864,43743.2992546584,1,1,0,158,9,6731,161,4,14011,0,568,0,70.4267118,133,161,79573,91953,0,179215,205462,6889,70.4267118,91,51,0,0,100,NA
2025-2026,April,05,BIHAR,0503,BHOJPUR,538704,849.316501340483,9,3,0.42124,1309,18,24866,43268,6464,40675,174,2178,0,367.9035038,4712,4921,166118,188881,0,604016,843822,26175,367.4822638,21056,74,26.73,37.66,100,NA
2025-2026,April,05,BIHAR,0526,MUNGER,763620,331.512359169218,12,59,0,507,13,12448,81321,9083,17617,3870,3901,0,269.5891656,6633,6945,126333,148173,0,237674,278806,12955,269.5891656,40887,50,45.87,69.41,100,NA
2025-2026,April,05,BIHAR,0527,BHAGALPUR,773597,1462.85636810822,8,17,0,458,17,25681,58548,4293,34540,1250,8600,0,856.4731464,6924,7758,176855,220111,0,507816,711420,26139,856.4731464,34859,77,27.57,26.82,100,NA
2025-2026,April,05,BIHAR,0542,KISHANGANJ,850285,342.980994374335,10,14,0.1424,457,5,19956,72347,1563,20766,300,6991,0,248.27886,6629,7355,189574,226388,0,363418,464959,20413,248.13646,53217,68,5.03,4.91,100,NA
2025-2026,April,05,BIHAR,0544,SUPAUL,591704,557.571738414544,12,5,1.39547,425,10,20879,88063,6779,63776,139,1626,0,492.40987,6836,8354,167881,249625,0,513756,761737,21304,491.0144,55679,75,14.2,16.78,100,NA
2025-2026,April,05,BIHAR,0548,BUXAR ,730603,593.637730230001,13,2,3.74856,721,23,14193,32739,3577,39491,854,5164,0,198.0996165,2471,2712,136860,149046,0,324741,351697,14914,194.3510565,18044,64,5.59,5.52,100,NA
